,x
190_at,-0.013743533
1900_at,-0.00207567
1901_s_at,-0.005787879
1902_at,0.02813612
1903_at,0.011650041
1904_at,0.104359342
1905_s_at,-0.085887219
1906_at,-0.047141941
1907_at,-0.012904106
1908_at,0.02017735
1909_at,-0.037872928
191_at,-0.005729617
1910_s_at,0.000116534
1911_s_at,0.135026385
1912_s_at,0.00889342
1913_at,-0.288548
1914_at,0.028553349
1915_s_at,-0.360586742
1916_s_at,-0.751858346
1917_at,-0.02275885
1918_at,0.035027411
1919_at,-0.023525338
192_at,0.042201394
1920_s_at,-0.049201071
1921_at,0.025640781
1922_g_at,0.06989909
1923_at,0.040189396
1924_at,0.149220165
1925_at,0.000896822
1926_at,-0.00020681
1927_s_at,0.046390379
1928_s_at,-0.110799695
1929_at,0.219741862
193_at,0.08869782
1930_at,-0.012504175
1931_at,0.062975165
1932_at,0.023980471
1933_g_at,0.09752217
1934_s_at,-0.253360847
1935_at,0.053704908
1936_s_at,-0.015384158
1937_at,-0.062259275
1938_at,0.001225511
1939_at,-0.174802209
194_at,0.006087877
1940_at,-0.006281717
1941_at,0.020518562
1942_s_at,0.041631846
1943_at,0.080110525
1944_f_at,0.015074665
1945_at,0.042049987
1946_at,0.025274633
1947_g_at,0.03908463
1948_f_at,0.049755927
1949_at,0.088122504
195_s_at,-0.622471236
1950_s_at,-0.009228905
1951_at,-0.0089667
1952_s_at,0.072972203
1953_at,-0.03921169
1954_at,0.015792007
1955_s_at,0.048076584
1956_s_at,0.073462086
1957_s_at,0.00229665
1958_at,0.013581828
1959_at,-0.0582237
196_s_at,0.106597138
1960_at,0.044204287
1961_f_at,0.005465248
1962_at,0.01347777
1963_at,0.013852151
1964_g_at,-0.037853848
1965_s_at,0.000326658
1966_i_at,0.001230226
1967_f_at,0.01102357
1968_g_at,-0.065811207
1969_s_at,0.077550971
197_at,0.007763924
1970_s_at,-0.068486973
1971_g_at,-0.030553497
1972_s_at,0.009394598
1973_s_at,-0.004632379
1974_s_at,-0.134816397
1975_s_at,0.020509646
1976_s_at,-0.00416236
1977_s_at,-0.060600455
1978_at,-0.051401968
1979_s_at,-0.018141648
198_g_at,0.013168771
1980_s_at,0.025762468
1981_s_at,-0.016091381
1983_at,-0.002594707
1984_s_at,-0.202857504
1985_s_at,0.064473072
1986_at,-0.095966093
1987_at,-0.034666972
1988_at,0.00396528
1989_at,0.039099379
199_s_at,-0.023570308
1990_g_at,-0.001964316
1991_s_at,-0.026656973
1992_at,0.005905955
1993_s_at,0.03689776
1994_at,0.033948957
1995_at,0.044499557
1996_s_at,0.014304368
1997_s_at,-0.031113101
1998_i_at,0.000775692
1999_s_at,0.028231864
200_at,0.022104875
2000_at,-0.102108749
2001_g_at,-0.028647753
2002_s_at,-0.177986484
2003_s_at,0.04577345
2004_at,-0.107572476
2005_s_at,-0.000310457
2006_at,0.012887449
2007_g_at,-0.005849439
2008_s_at,0.031734784
2009_at,0.030235885
201_s_at,-0.067053541
2010_at,0.024303808
2011_s_at,-0.035608291
2012_s_at,0.013003092
2013_at,-0.0170399
2014_s_at,-0.075258945
2015_s_at,0.088122465
2016_s_at,0.011366237
2017_s_at,-0.408738116
2018_at,-0.027357892
2019_s_at,-0.298391102
